Re-sort ID,ERCC ID,subgroup,concentration in Mix 1 (attomoles/ul),concentration in Mix 2 (attomoles/ul),expected fold-change ratio,log2(Mix 1/Mix 2),,ERCC ID,
1,ERCC-00130,A,30000,7500,4,2,4.477121255,ERCC-00130,4.477121255
2,ERCC-00004,A,7500,1875,4,2,3.875061263,ERCC-00004,3.875061263
3,ERCC-00136,A,1875,468.75,4,2,3.273001272,ERCC-00136,3.273001272
4,ERCC-00108,A,937.5,234.375,4,2,2.971971276,ERCC-00108,2.971971276
5,ERCC-00116,A,468.75,117.1875,4,2,2.670941281,ERCC-00116,2.670941281
6,ERCC-00092,A,234.375,58.59375,4,2,2.369911285,ERCC-00092,2.369911285
7,ERCC-00095,A,117.1875,29.296875,4,2,2.068881289,ERCC-00095,2.068881289
8,ERCC-00131,A,117.1875,29.296875,4,2,2.068881289,ERCC-00131,2.068881289
9,ERCC-00062,A,58.59375,14.6484375,4,2,1.767851294,ERCC-00062,1.767851294
10,ERCC-00019,A,29.296875,7.32421875,4,2,1.466821298,ERCC-00019,1.466821298
11,ERCC-00144,A,29.296875,7.32421875,4,2,1.466821298,ERCC-00144,1.466821298
12,ERCC-00170,A,14.6484375,3.66210938,4,2,1.165791302,ERCC-00170,1.165791302
13,ERCC-00154,A,7.32421875,1.83105469,4,2,0.8647613068,ERCC-00154,0.8647613068
14,ERCC-00085,A,7.32421875,1.83105469,4,2,0.8647613068,ERCC-00085,0.8647613068
15,ERCC-00028,A,3.66210938,0.91552734,4,2,0.5637313117,ERCC-00028,0.5637313117
16,ERCC-00033,A,1.83105469,0.45776367,4,2,0.262701316,ERCC-00033,0.262701316
17,ERCC-00134,A,1.83105469,0.45776367,4,2,0.262701316,ERCC-00134,0.262701316
18,ERCC-00147,A,0.91552734,0.22888184,4,2,-0.03832868202,ERCC-00147,-0.03832868202
19,ERCC-00097,A,0.45776367,0.11444092,4,2,-0.3393586777,ERCC-00097,-0.3393586777
20,ERCC-00156,A,0.45776367,0.11444092,4,2,-0.3393586777,ERCC-00156,-0.3393586777
21,ERCC-00123,A,0.22888184,0.05722046,4,2,-0.6403886639,ERCC-00123,-0.6403886639
22,ERCC-00017,A,0.11444092,0.02861023,4,2,-0.9414186595,ERCC-00017,-0.9414186595
23,ERCC-00083,A,0.02861023,0.00715256,4,2,-1.543478651,ERCC-00083,-1.543478651
24,ERCC-00096,B,15000,15000,1,0,4.176091259,ERCC-00096,4.176091259
25,ERCC-00171,B,3750,3750,1,0,3.574031268,ERCC-00171,3.574031268
26,ERCC-00009,B,937.5,937.5,1,0,2.971971276,ERCC-00009,2.971971276
27,ERCC-00042,B,468.75,468.75,1,0,2.670941281,ERCC-00042,2.670941281
28,ERCC-00060,B,234.375,234.375,1,0,2.369911285,ERCC-00060,2.369911285
29,ERCC-00035,B,117.1875,117.1875,1,0,2.068881289,ERCC-00035,2.068881289
30,ERCC-00025,B,58.59375,58.59375,1,0,1.767851294,ERCC-00025,1.767851294
31,ERCC-00051,B,58.59375,58.59375,1,0,1.767851294,ERCC-00051,1.767851294
32,ERCC-00053,B,29.296875,29.296875,1,0,1.466821298,ERCC-00053,1.466821298
33,ERCC-00148,B,14.6484375,14.6484375,1,0,1.165791302,ERCC-00148,1.165791302
34,ERCC-00126,B,14.6484375,14.6484375,1,0,1.165791302,ERCC-00126,1.165791302
35,ERCC-00034,B,7.32421875,7.32421875,1,0,0.8647613068,ERCC-00034,0.8647613068
36,ERCC-00150,B,3.66210938,3.66210938,1,0,0.5637313117,ERCC-00150,0.5637313117
37,ERCC-00067,B,3.66210938,3.66210938,1,0,0.5637313117,ERCC-00067,0.5637313117
38,ERCC-00031,B,1.83105469,1.83105469,1,0,0.262701316,ERCC-00031,0.262701316
39,ERCC-00109,B,0.91552734,0.91552734,1,0,-0.03832868202,ERCC-00109,-0.03832868202
40,ERCC-00073,B,0.91552734,0.91552734,1,0,-0.03832868202,ERCC-00073,-0.03832868202
41,ERCC-00158,B,0.45776367,0.45776367,1,0,-0.3393586777,ERCC-00158,-0.3393586777
42,ERCC-00104,B,0.22888184,0.22888184,1,0,-0.6403886639,ERCC-00104,-0.6403886639
43,ERCC-00142,B,0.22888184,0.22888184,1,0,-0.6403886639,ERCC-00142,-0.6403886639
44,ERCC-00138,B,0.11444092,0.11444092,1,0,-0.9414186595,ERCC-00138,-0.9414186595
45,ERCC-00117,B,0.05722046,0.05722046,1,0,-1.242448655,ERCC-00117,-1.242448655
46,ERCC-00075,B,0.01430512,0.01430512,1,0,-1.844508495,ERCC-00075,-1.844508495
47,ERCC-00074,C,15000,22500,0.67,-0.58,4.176091259,ERCC-00074,4.176091259
48,ERCC-00113,C,3750,5625,0.67,-0.58,3.574031268,ERCC-00113,3.574031268
49,ERCC-00145,C,937.5,1406.25,0.67,-0.58,2.971971276,ERCC-00145,2.971971276
50,ERCC-00111,C,468.75,703.125,0.67,-0.58,2.670941281,ERCC-00111,2.670941281
51,ERCC-00076,C,234.375,351.5625,0.67,-0.58,2.369911285,ERCC-00076,2.369911285
52,ERCC-00044,C,117.1875,175.78125,0.67,-0.58,2.068881289,ERCC-00044,2.068881289
53,ERCC-00162,C,58.59375,87.890625,0.67,-0.58,1.767851294,ERCC-00162,1.767851294
54,ERCC-00071,C,58.59375,87.890625,0.67,-0.58,1.767851294,ERCC-00071,1.767851294
55,ERCC-00084,C,29.296875,43.9453125,0.67,-0.58,1.466821298,ERCC-00084,1.466821298
56,ERCC-00099,C,14.6484375,21.9726563,0.67,-0.58,1.165791302,ERCC-00099,1.165791302
57,ERCC-00054,C,14.6484375,21.9726563,0.67,-0.58,1.165791302,ERCC-00054,1.165791302
58,ERCC-00157,C,7.32421875,10.9863281,0.67,-0.58,0.8647613068,ERCC-00157,0.8647613068
59,ERCC-00143,C,3.66210938,5.49316406,0.67,-0.58,0.5637313117,ERCC-00143,0.5637313117
60,ERCC-00039,C,3.66210938,5.49316406,0.67,-0.58,0.5637313117,ERCC-00039,0.5637313117
61,ERCC-00058,C,1.83105469,2.74658203,0.67,-0.58,0.262701316,ERCC-00058,0.262701316
62,ERCC-00120,C,0.91552734,1.37329102,0.67,-0.58,-0.03832868202,ERCC-00120,-0.03832868202
63,ERCC-00040,C,0.91552734,1.37329102,0.67,-0.58,-0.03832868202,ERCC-00040,-0.03832868202
64,ERCC-00164,C,0.45776367,0.68664551,0.67,-0.58,-0.3393586777,ERCC-00164,-0.3393586777
65,ERCC-00024,C,0.22888184,0.34332275,0.67,-0.58,-0.6403886639,ERCC-00024,-0.6403886639
66,ERCC-00016,C,0.22888184,0.34332275,0.67,-0.58,-0.6403886639,ERCC-00016,-0.6403886639
67,ERCC-00012,C,0.11444092,0.17166138,0.67,-0.58,-0.9414186595,ERCC-00012,-0.9414186595
68,ERCC-00098,C,0.05722046,0.08583069,0.67,-0.58,-1.242448655,ERCC-00098,-1.242448655
69,ERCC-00057,C,0.01430512,0.02145767,0.67,-0.58,-1.844508495,ERCC-00057,-1.844508495
70,ERCC-00002,D,15000,30000,0.5,-1,4.176091259,ERCC-00002,4.176091259
71,ERCC-00046,D,3750,7500,0.5,-1,3.574031268,ERCC-00046,3.574031268
72,ERCC-00003,D,937.5,1875,0.5,-1,2.971971276,ERCC-00003,2.971971276
73,ERCC-00043,D,468.75,937.5,0.5,-1,2.670941281,ERCC-00043,2.670941281
74,ERCC-00022,D,234.375,468.75,0.5,-1,2.369911285,ERCC-00022,2.369911285
75,ERCC-00112,D,117.1875,234.375,0.5,-1,2.068881289,ERCC-00112,2.068881289
76,ERCC-00165,D,58.59375,117.1875,0.5,-1,1.767851294,ERCC-00165,1.767851294
77,ERCC-00079,D,58.59375,117.1875,0.5,-1,1.767851294,ERCC-00079,1.767851294
78,ERCC-00078,D,29.296875,58.59375,0.5,-1,1.466821298,ERCC-00078,1.466821298
79,ERCC-00163,D,14.6484375,29.296875,0.5,-1,1.165791302,ERCC-00163,1.165791302
80,ERCC-00059,D,14.6484375,29.296875,0.5,-1,1.165791302,ERCC-00059,1.165791302
81,ERCC-00160,D,7.32421875,14.6484375,0.5,-1,0.8647613068,ERCC-00160,0.8647613068
82,ERCC-00014,D,3.66210938,7.32421875,0.5,-1,0.5637313117,ERCC-00014,0.5637313117
83,ERCC-00077,D,3.66210938,7.32421875,0.5,-1,0.5637313117,ERCC-00077,0.5637313117
84,ERCC-00069,D,1.83105469,3.66210938,0.5,-1,0.262701316,ERCC-00069,0.262701316
85,ERCC-00137,D,0.91552734,1.83105469,0.5,-1,-0.03832868202,ERCC-00137,-0.03832868202
86,ERCC-00013,D,0.91552734,1.83105469,0.5,-1,-0.03832868202,ERCC-00013,-0.03832868202
87,ERCC-00168,D,0.45776367,0.91552734,0.5,-1,-0.3393586777,ERCC-00168,-0.3393586777
88,ERCC-00041,D,0.22888184,0.45776367,0.5,-1,-0.6403886639,ERCC-00041,-0.6403886639
89,ERCC-00081,D,0.22888184,0.45776367,0.5,-1,-0.6403886639,ERCC-00081,-0.6403886639
90,ERCC-00086,D,0.11444092,0.22888184,0.5,-1,-0.9414186595,ERCC-00086,-0.9414186595
91,ERCC-00061,D,0.05722046,0.11444092,0.5,-1,-1.242448655,ERCC-00061,-1.242448655
92,ERCC-00048,D,0.01430512,0.02861023,0.5,-1,-1.844508495,ERCC-00048,-1.844508495
